1997,Michael Jordan,Guard,Chicago Bulls,34,UNC,32.3,7,6,1.2,0.8,0.456,0.764,0.32
1998,Michael Jordan,Guard,Chicago Bulls,35,UNC,33.5,4,2.3,1.8,0.7,0.427,0.814,0.308
1999,Tim Duncan,Power Forward,San Antonio Spurs,23,Wake Forest,27.4,14,2.4,1,3,0.537,0.688,0
2000,Shaquille O'Neal,Center,LA Lakers,28,LSU,38,16.7,2.3,1,2.7,0.611,0.387,0
2001,Shaquille O'Neal,Center,LA Lakers,29,LSU,33,15.6,4.8,0.4,3.4,0.572,0.513,0
2002,Shaquille O'Neal,Center,LA Lakers,30,LSU,36.3,12.3,3.8,0.5,2.8,0.595,0.662,0
2003,Tim Duncan,Power Forward,San Antonio Spurs,27,Wake Forest,24.2,17,5.3,1,5.3,0.495,0.685,0
2004,Chauncey Billups,Guard,Detroit Pistons,27,Colorado,21,3.2,5.2,1.2,0,0.509,0.929,0.471
2005,Tim Duncan,Power Forward,San Antonio Spurs,29,Wake Forest,20.6,14.1,2.1,0.4,2.1,0.419,0.667,0
2006,Dwyane Wade,Guard,Miami Heat,24,Marquette,34.7,7.8,3.8,2.7,1,0.468,0.773,0.273
2007,Tony Parker,Guard,San Antonio Spurs,25,France,24.5,5,3.3,0.8,0,0.568,0.526,0.571
2008,Paul Pierce,Guard/Forward,Boston Celtics,30,Kansas,21.8,4.5,6.3,1.2,0.3,0.432,0.83,0.393
2009,Kobe Bryant,Guard,LA Lakers,30,Lower Merion,32.4,5.6,7.4,1.4,1.4,0.43,0.841,0.36
2010,Kobe Bryant,Guard,LA Lakers,31,Lower Merion,28.6,8,3.9,2.1,0.7,0.405,0.883,0.319
2011,Dirk Nowitizki,Power Forward,Dallas Mavericks,33,Germany,26,9.7,2,0.7,0.7,0.42,0.978,0.368
2012,Lebron James,Forward,Miami Heat,27,St. Vincent - St. Mary,28.6,10.2,7.4,1.6,0.4,0.472,0.826,0.188
2013,Lebron James,Forward,Miami Heat,28,St. Vincent - St. Mary,25.3,10.9,7,2.3,0.9,0.447,0.795,0.353
2014,Kawhi Leonard,Forward,San Antonio Spurs,22,San Diego State,17.8,6.4,2,1.6,1.2,0.612,0.783,0.579
2015,Andre Iguodala,Guard/Forward,Golden State Warriors,31,Arizona,16.3,5.8,4,1.3,0.3,0.521,0.357,0.4
2016,Lebron James,Forward,Cleveland Cavaliers,31,St. Vincent-St. Mary,29.7,11.3,8.9,2.6,2.3,0.494,0.721,0.371
